Unnamed: 0,pokedex_number,name,german_name,japanese_name,generation,status,species,type_number,type_1,type_2,height_m,weight_kg,abilities_number,ability_1,ability_2,ability_hidden,total_points,hp,attack,defense,sp_attack,sp_defense,speed,catch_rate,base_friendship,base_experience,growth_rate,egg_type_number,egg_type_1,egg_type_2,percentage_male,egg_cycles,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fight,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy,sprite_size,sprite_perimeter,sprite_perimeter_to_size_ratio,sprite_red_mean,sprite_green_mean,sprite_blue_mean,sprite_brightness_mean,sprite_red_sd,sprite_green_sd,sprite_blue_sd,sprite_brightness_sd,sprite_overflow_vertical,sprite_overflow_horizontal
10,8,Wartortle,Schillok,カメール (Kameil),1,Normal,Turtle Pokémon,1,Water,,1.0,22.5,2,Torrent,,Rain Dish,405,59,63,80,65,80,58,45,50,142,Medium Slow,2,Monster,Water 1,87.5,20,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,304,77.0,0.2532894736842105,0.40323787409700723,0.4305727554179567,0.48867389060887517,0.44082817337461305,0.3149007077302176,0.3367839785851001,0.39043055256824105,0.3382085827382007,0.0,0.0
11,9,Blastoise,Turtok,カメックス (Kamex),1,Normal,Shellfish Pokémon,1,Water,,1.6,85.5,2,Torrent,,Rain Dish,530,79,83,100,85,105,78,45,50,239,Medium Slow,2,Monster,Water 1,87.5,20,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,794,119.0,0.14987405541561713,0.4369091717291451,0.5046624191238208,0.5498542994023806,0.4971419634184488,0.30181162577366016,0.3138043241467794,0.3626664533454341,0.3081415992346692,0.0,0.0
12,9,Mega Blastoise,Turtok,カメックス (Kamex),1,Normal,Shellfish Pokémon,1,Water,,1.6,101.1,1,Mega Launcher,,,630,79,103,120,135,115,78,45,50,284,Medium Slow,2,Monster,Water 1,87.5,20,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,483,89.0,0.18426501035196688,0.5003125888036374,0.5024154589371981,0.4889863191653473,0.49723812230206094,0.2724077985574145,0.2653916224036551,0.29574370386515664,0.26075194247008965,0.0,0.0
13,10,Caterpie,Raupy,キャタピー (Caterpie),1,Normal,Worm Pokémon,1,Bug,,0.3,2.9,2,Shield Dust,,Run Away,195,45,30,35,20,20,45,255,50,39,Medium Fast,1,Bug,,50.0,15,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,136,43.0,0.3161764705882353,0.37188581314878894,0.3608996539792388,0.17612456747404845,0.30297001153402536,0.33086013600394437,0.3256145248215839,0.1337038330460954,0.24911963845497975,0.0,0.0
14,11,Metapod,Safcon,トランセル (Transel),1,Normal,Cocoon Pokémon,1,Bug,,0.7,9.9,1,Shed Skin,,,205,50,20,55,25,25,30,120,50,72,Medium Fast,1,Bug,,50.0,15,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,131,41.0,0.31297709923664124,0.3943122287082772,0.5065110013471037,0.218081125580003,0.37296811854512796,0.2834791911077598,0.36001780337109096,0.18217981008837775,0.26933409476911324,0.0,0.0
15,12,Butterfree,Smettbo,バタフリー (Butterfree),1,Normal,Butterfly Pokémon,2,Bug,Flying,1.1,32.0,2,Compound Eyes,,Tinted Lens,395,60,45,50,90,80,70,45,50,178,Medium Fast,1,Bug,,50.0,15,1.0,2.0,1.0,2.0,0.25,2.0,0.25,1.0,0.0,2.0,1.0,0.5,4.0,1.0,1.0,1.0,1.0,1.0,736,153.0,0.2078804347826087,0.4649136828644501,0.46105605285592505,0.5026161551577153,0.4761952969593634,0.35936676921176036,0.3454974990480621,0.3554100575876158,0.3466904269108666,0.03571428571428571,0.0
16,13,Weedle,Hornliu,ビードル (Beedle),1,Normal,Hairy Bug Pokémon,2,Bug,Poison,0.3,3.2,2,Shield Dust,,Run Away,195,40,35,30,20,20,50,255,50,39,Medium Fast,1,Bug,,50.0,15,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,146,48.0,0.3287671232876712,0.4600590921300026,0.3483212463067418,0.21982272360999194,0.3427343540155788,0.3663291097108779,0.29349156568397133,0.22236848385397998,0.27884738490340405,0.0,0.0
17,14,Kakuna,Kokuna,コクーン (Cocoon),1,Normal,Cocoon Pokémon,2,Bug,Poison,0.6,10.0,1,Shed Skin,,,205,45,25,50,25,25,35,120,50,72,Medium Fast,1,Bug,,50.0,15,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,160,40.0,0.25,0.5384313725490195,0.46078431372549017,0.1292156862745098,0.3761437908496731,0.3923589675287551,0.33744066931188316,0.10733194351009744,0.2680559016756963,0.0,0.0
18,15,Beedrill,Bibor,スピアー (Spear),1,Normal,Poison Bee Pokémon,2,Bug,Poison,1.0,29.5,2,Swarm,,Sniper,395,65,90,40,45,80,75,45,50,178,Medium Fast,1,Bug,,50.0,15,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,301,113.0,0.3754152823920266,0.37647058823529417,0.3449938114780796,0.2665103250602567,0.3293249082578768,0.38632151193446435,0.3595029676773896,0.3405591205704907,0.33563205614166963,0.0,0.0
19,15,Mega Beedrill,Bibor,スピアー (Spear),1,Normal,Poison Bee Pokémon,2,Bug,Poison,1.4,40.5,1,Adaptability,,,495,65,150,40,15,80,145,45,50,223,Medium Fast,1,Bug,,50.0,15,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,430,121.0,0.2813953488372093,0.5238759689922482,0.4897583219334245,0.39616051071591424,0.4699316005471957,0.29564305099189275,0.27172929916768346,0.2573459469053532,0.24682303647921933,0.0,0.0
20,16,Pidgey,Taubsi,ポッポ (Poppo),1,Normal,Tiny Bird Pokémon,2,Normal,Flying,0.3,1.8,3,Keen Eye,Tangled Feet,Big Pecks,251,40,45,40,35,35,56,255,50,50,Medium Slow,1,Flying,,50.0,15,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,197,50.0,0.25380710659898476,0.47855081118741916,0.38682193689658595,0.24922862546033644,0.3715337911814472,0.3676706808783704,0.31072962569372964,0.2132525890885118,0.2853355367581465,0.0,0.0
21,17,Pidgeotto,Tauboga,ピジョン (Pigeon),1,Normal,Bird Pokémon,2,Normal,Flying,1.1,30.0,3,Keen Eye,Tangled Feet,Big Pecks,349,63,60,55,50,50,71,120,50,122,Medium Slow,1,Flying,,50.0,15,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,238,64.0,0.2689075630252101,0.45925193606854503,0.30476190476190473,0.216444224748723,0.3268193551930576,0.362176738714852,0.2535098392844258,0.19169209975869156,0.25209914690242413,0.0,0.0
22,18,Pidgeot,Tauboss,ピジョット (Pigeot),1,Normal,Bird Pokémon,2,Normal,Flying,1.5,39.5,3,Keen Eye,Tangled Feet,Big Pecks,479,83,80,75,70,70,101,45,50,216,Medium Slow,1,Flying,,50.0,15,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,679,129.0,0.18998527245949925,0.6159461722833464,0.4642582806318404,0.31668254930838313,0.4656290007411899,0.36977241853649645,0.3264226798203439,0.2234778785000148,0.2904088058948108,0.0,0.0
23,18,Mega Pidgeot,Tauboss,ピジョット (Pigeot),1,Normal,Bird Pokémon,2,Normal,Flying,2.2,50.5,1,No Guard,,,579,83,80,80,135,80,121,45,50,261,Medium Slow,1,Flying,,50.0,15,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,500,125.0,0.25,0.5361803921568629,0.4029725490196079,0.37223529411764705,0.43712941176470593,0.31056236087509165,0.2479911271992411,0.18560522073024288,0.2117571078440041,0.0,0.0
24,19,Rattata,Rattfratz,コラッタ (Koratta),1,Normal,Mouse Pokémon,1,Normal,,0.3,3.5,3,Run Away,Guts,Hustle,253,30,56,35,25,35,72,255,50,51,Medium Fast,1,Field,,50.0,15,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,205,68.0,0.33170731707317075,0.37876614060258246,0.32979435676709706,0.40187470109995216,0.3701450661565439,0.31927677719631364,0.2810936966955953,0.33395931333695317,0.30368106355591007,0.0,0.0
25,19,Alolan Rattata,Rattfratz,コラッタ (Koratta),1,Normal,Mouse Pokémon,2,Dark,Normal,0.3,3.8,3,Gluttony,Hustle,Thick Fat,253,30,56,35,25,35,72,255,50,51,Medium Fast,1,Field,,50.0,15,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.5,1.0,2.0,237,80.0,0.33755274261603374,0.30896003971208735,0.3008852486142136,0.2877802597832382,0.29920851603651305,0.27617808204461997,0.2632817218433905,0.2411572069101858,0.2585532698306259,0.0,0.0
26,20,Raticate,Rattikarl,ラッタ (Ratta),1,Normal,Mouse Pokémon,1,Normal,,0.7,18.5,3,Run Away,Guts,Hustle,413,55,81,60,50,70,97,127,50,145,Medium Fast,1,Field,,50.0,15,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,318,87.0,0.27358490566037735,0.4655567887532372,0.3979775558021951,0.2582809224318658,0.3739384223290993,0.3737925083065104,0.3264626294865988,0.22062572536815994,0.2994004738394826,0.0,0.0
27,20,Alolan Raticate,Rattikarl,ラッタ (Ratta),1,Normal,Mouse Pokémon,2,Dark,Normal,0.7,25.5,3,Gluttony,Hustle,Thick Fat,413,75,71,70,40,80,77,127,50,145,Medium Fast,1,Field,,50.0,15,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.5,1.0,2.0,337,89.0,0.26409495548961426,0.3954616861581427,0.36371676266945946,0.32778262640367717,0.3623203584104264,0.3317981112115832,0.303674718554137,0.26277816848701985,0.2979045693031871,0.0,0.0
28,21,Spearow,Habitak,オニスズメ (Onisuzume),1,Normal,Tiny Bird Pokémon,2,Normal,Flying,0.3,2.0,2,Keen Eye,,Sniper,262,40,60,30,31,31,70,255,50,52,Medium Fast,1,Flying,,50.0,15,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,197,50.0,0.25380710659898476,0.4314123618990743,0.2887230018911118,0.2012939185826615,0.3071430941242825,0.35045517309012986,0.23079880261268643,0.18458851610696822,0.24282555769813297,0.0,0.0
29,22,Fearow,Ibitak,オニドリル (Onidrill),1,Normal,Beak Pokémon,2,Normal,Flying,1.2,38.0,2,Keen Eye,,Sniper,442,65,90,65,61,61,100,90,50,155,Medium Fast,1,Flying,,50.0,15,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,375,97.0,0.25866666666666666,0.48054379084967314,0.354718954248366,0.2138352941176471,0.3496993464052288,0.3443909088730428,0.27577277593710037,0.1894881461171199,0.2592341594191845,0.0,0.0
30,23,Ekans,Rettan,アーボ (Arbo),1,Normal,Snake Pokémon,1,Poison,,2.0,6.9,3,Intimidate,Shed Skin,Unnerve,288,35,60,44,40,54,55,255,50,58,Medium Fast,2,Dragon,Field,50.0,20,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,247,63.0,0.2550607287449393,0.4536953242835596,0.3222354528856077,0.3527189013257125,0.37621655949829325,0.3135564178245247,0.236215925833139,0.2613666233197692,0.25257873058912195,0.0,0.0
31,24,Arbok,Arbok,アーボック (Arbok),1,Normal,Cobra Pokémon,1,Poison,,3.5,65.0,3,Intimidate,Shed Skin,Unnerve,448,60,95,69,65,79,80,90,50,157,Medium Fast,2,Dragon,Field,50.0,20,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,542,97.0,0.17896678966789667,0.4524129947181825,0.35985818681716225,0.47481368931336376,0.42902829028290285,0.26017486070721757,0.20947193230834432,0.29185676846555325,0.2498732053674881,0.0,0.0
32,25,Pikachu,Pikachu,ピカチュウ (Pikachu),1,Normal,Mouse Pokémon,1,Electric,,0.4,6.0,2,Static,,Lightning Rod,320,35,55,40,50,50,90,190,50,112,Medium Fast,2,Fairy,Field,50.0,10,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,235,66.0,0.28085106382978725,0.5672757613683771,0.4809345014601586,0.1542261159783062,0.4008121262689473,0.4140975362725195,0.35409686607337365,0.112286661580062,0.2846638653742858,0.0,0.0
33,25,Partner Pikachu,Pikachu,ピカチュウ (Pikachu),1,Normal,Mouse Pokémon,1,Electric,,0.4,6.0,1,,,Lightning Rod,430,45,80,50,75,60,120,190,50,112,Medium Fast,0,,,50.0,10,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,323,76.0,0.23529411764705882,0.626868208583743,0.5166272081588054,0.2917744187458265,0.4784232784961249,0.39986361974525275,0.33171472240238414,0.3081585608242978,0.30677209641931563,0.0,0.0
34,26,Raichu,Raichu,ライチュウ (Raichu),1,Normal,Mouse Pokémon,1,Electric,,0.8,30.0,2,Static,,Lightning Rod,485,60,90,55,90,80,110,75,50,243,Medium Fast,2,Fairy,Field,50.0,10,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,699,198.0,0.2832618025751073,0.5134898594630984,0.43487895873657045,0.24750764397318298,0.39862548739095066,0.39495401981111533,0.32677548803579476,0.19657189688418003,0.2946767413370406,0.0,0.0
35,26,Alolan Raichu,Raichu,ライチュウ (Raichu),1,Normal,Mouse Pokémon,2,Electric,Psychic,0.7,21.0,1,Surge Surfer,,,485,60,85,50,95,85,110,75,50,243,Medium Fast,2,Fairy,Field,50.0,10,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,348,96.0,0.27586206896551724,0.5395312147847645,0.46446923597025025,0.2472842010367365,0.41709488393058364,0.41148980097096105,0.3611047056068103,0.21527373116055717,0.3149900866292926,0.0,0.0
36,27,Sandshrew,Sandan,サンド (Sand),1,Normal,Mouse Pokémon,1,Ground,,0.6,12.0,2,Sand Veil,,Sand Rush,300,50,75,85,20,30,40,255,50,60,Medium Fast,1,Field,,50.0,20,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,219,51.0,0.2328767123287671,0.4927925508102784,0.4503894708568359,0.22533798907690927,0.3895066702480078,0.3573205478337714,0.32769828663322753,0.20199445134638194,0.28264255845699043,0.0,0.0
37,27,Alolan Sandshrew,Sandan,サンド (Sand),1,Normal,Mouse Pokémon,2,Ice,Steel,0.7,40.0,2,Snow Cloak,,Slush Rush,300,50,75,90,10,35,40,255,50,60,Medium Fast,1,Field,,50.0,20,0.5,4.0,1.0,1.0,0.5,0.25,4.0,0.0,2.0,0.5,0.5,0.5,1.0,1.0,0.5,1.0,1.0,0.5,234,55.0,0.23504273504273504,0.4936483995307524,0.5297134238310708,0.5427182838947544,0.5220267024188593,0.3711119248117707,0.3868622482261034,0.39147282633443886,0.37954997364554083,0.0,0.0
38,28,Sandslash,Sandamer,サンドパン (Sandpan),1,Normal,Mouse Pokémon,1,Ground,,1.0,29.5,2,Sand Veil,,Sand Rush,450,75,100,110,45,55,65,90,50,158,Medium Fast,1,Field,,50.0,20,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,326,79.0,0.24233128834355827,0.43883074702273556,0.38551666065199086,0.23712257909298687,0.35382332892257107,0.355916516243746,0.31534237837194506,0.2361579564541665,0.2856901835291846,0.0,0.0
39,28,Alolan Sandslash,Sandamer,サンドパン (Sandpan),1,Normal,Mouse Pokémon,2,Ice,Steel,1.2,55.0,2,Snow Cloak,,Slush Rush,450,75,100,120,25,65,65,90,50,158,Medium Fast,1,Field,,50.0,20,0.5,4.0,1.0,1.0,0.5,0.25,4.0,0.0,2.0,0.5,0.5,0.5,1.0,1.0,0.5,1.0,1.0,0.5,376,86.0,0.22872340425531915,0.33900709219858155,0.4322069253233208,0.4859407592824364,0.41905159226811295,0.28660784738778283,0.33405643051835,0.3741059006990684,0.3239303797055476,0.0,0.0
40,29,Nidoran♀,Nidoran♀,ニドラン♀ (Nidoran♀),1,Normal,Poison Pin Pokémon,1,Poison,,0.4,7.0,3,Poison Point,Rivalry,Hustle,275,55,47,52,40,40,41,235,50,55,Medium Slow,2,Field,Monster,0.0,20,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,218,55.0,0.25229357798165136,0.35358877495952507,0.3934520597229717,0.49663608562691125,0.41455897343646936,0.2645122722153269,0.29169745033041716,0.376450921015851,0.30771976699004755,0.0,0.0
41,30,Nidorina,Nidorina,ニドリーナ (Nidorina),1,Normal,Poison Pin Pokémon,1,Poison,,0.8,20.0,3,Poison Point,Rivalry,Hustle,365,70,62,67,55,55,56,120,50,128,Medium Slow,1,Undiscovered,,0.0,20,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,281,71.0,0.2526690391459075,0.33170050938524875,0.4273812015909566,0.41923103761077385,0.39277091619565974,0.24844687674935378,0.31602819279268024,0.3078365731503311,0.28770416670838794,0.0,0.0
42,31,Nidoqueen,Nidoqueen,ニドクイン (Nidoqueen),1,Normal,Drill Pokémon,2,Poison,Ground,1.3,60.0,3,Poison Point,Rivalry,Sheer Force,505,90,92,87,75,85,76,45,50,227,Medium Slow,1,Undiscovered,,0.0,20,1.0,1.0,2.0,0.0,1.0,2.0,0.5,0.25,2.0,1.0,2.0,0.5,0.5,1.0,1.0,1.0,1.0,0.5,693,127.0,0.18326118326118326,0.3567325920267097,0.45976855388620097,0.5437908496732027,0.4534306651953711,0.24688303353353655,0.28263844023473184,0.36791917609660774,0.27793453339279806,0.0,0.0
43,32,Nidoran♂,Nidoran♂,ニドラン♂ (Nidoran♂),1,Normal,Poison Pin Pokémon,1,Poison,,0.5,9.0,3,Poison Point,Rivalry,Hustle,273,46,57,40,40,40,50,235,50,55,Medium Slow,2,Field,Monster,100.0,20,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,226,62.0,0.2743362831858407,0.39770952628839146,0.3074787437098734,0.37411070622939435,0.3597663254092197,0.3122744186368663,0.23018138762506787,0.28086616665947006,0.2697390954076524,0.0,0.0
44,33,Nidorino,Nidorino,ニドリーノ (Nidorino),1,Normal,Poison Pin Pokémon,1,Poison,,0.9,19.5,3,Poison Point,Rivalry,Hustle,365,61,72,57,55,55,65,120,50,128,Medium Slow,2,Field,Monster,100.0,20,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,268,76.0,0.2835820895522388,0.3930933567456834,0.30119988293824995,0.369212759730758,0.3545019998048971,0.3226859746992356,0.23637857475195173,0.29075810585338085,0.2792359702862323,0.0,0.0
45,34,Nidoking,Nidoking,ニドキング (Nidoking),1,Normal,Drill Pokémon,2,Poison,Ground,1.4,62.0,3,Poison Point,Rivalry,Sheer Force,505,81,102,77,85,75,85,45,50,227,Medium Slow,2,Field,Monster,100.0,20,1.0,1.0,2.0,0.0,1.0,2.0,0.5,0.25,2.0,1.0,2.0,0.5,0.5,1.0,1.0,1.0,1.0,0.5,822,145.0,0.17639902676399027,0.4830303897714804,0.38410381184103815,0.5062735556509708,0.45780258575449645,0.31086277596586587,0.24592333339207934,0.3084436169135285,0.2825301128158049,0.0,0.0
