generation,status,type_number,type_1,type_2,height_m,weight_kg,abilities_number,total_points,hp,attack,defense,sp_attack,sp_defense,speed,catch_rate,base_friendship,base_experience,maximum_experience,egg_type_number,has_gender,proportion_male,egg_cycles,damage_from_normal,damage_from_fire,damage_from_water,damage_from_electric,damage_from_grass,damage_from_ice,damage_from_fighting,damage_from_poison,damage_from_ground,damage_from_flying,damage_from_psychic,damage_from_bug,damage_from_rock,damage_from_ghost,damage_from_dragon,damage_from_dark,damage_from_steel,damage_from_fairy
3.0,Normal,1.0,Normal,None,0.5,32.5,3.0,420.0,78.0,70.0,61.0,50.0,61.0,100.0,90.0,70.0,147.0,1000000.0,1.0,True,0.5,15.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
3.0,Normal,2.0,Ice,Water,1.4,150.6,3.0,530.0,110.0,80.0,90.0,95.0,90.0,65.0,45.0,70.0,239.0,1059860.0,2.0,True,0.5,20.0,1.0,0.5,0.5,2.0,2.0,125.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
2.0,Normal,1.0,Grass,None,0.4,5.8,2.0,490.0,75.0,80.0,95.0,90.0,100.0,50.0,45.0,70.0,221.0,1059860.0,1.0,True,0.5,20.0,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
2.0,Normal,2.0,Normal,Flying,1.6,40.8,3.0,452.0,100.0,50.0,50.0,86.0,96.0,70.0,90.0,70.0,158.0,1000000.0,1.0,True,0.5,15.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
2.0,Normal,2.0,Water,Fairy,0.4,8.5,3.0,250.0,70.0,20.0,50.0,20.0,50.0,40.0,190.0,70.0,88.0,800000.0,2.0,True,0.5,10.0,1.0,0.25,0.5,2.0,2.0,0.25,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,1.0,1.0
1.0,Normal,1.0,Water,None,1.3,39.0,3.0,450.0,80.0,92.0,65.0,65.0,80.0,68.0,60.0,70.0,158.0,1000000.0,1.0,True,0.5,20.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
1.0,Sub Legendary,2.0,Electric,Flying,1.6,52.6,2.0,580.0,90.0,90.0,85.0,125.0,90.0,100.0,3.0,35.0,261.0,1250000.0,1.0,False,0.5,80.0,1.0,1.0,1.0,1.0,0.5,2.0,0.5,1.0,0.0,0.5,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0
5.0,Normal,2.0,Grass,Steel,1.0,110.0,2.0,489.0,74.0,94.0,131.0,54.0,116.0,20.0,90.0,70.0,171.0,1000000.0,2.0,True,0.5,20.0,0.5,4.0,0.5,0.5,0.25,1.0,2.0,0.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,1.0,0.5,0.5
6.0,Legendary,2.0,Dark,Flying,5.8,203.0,1.0,680.0,126.0,131.0,95.0,131.0,98.0,99.0,45.0,0.0,306.0,1250000.0,1.0,False,0.5,120.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,0.5,1.0,0.5,1.0,2.0
7.0,Normal,1.0,Rock,None,0.8,25.0,3.0,487.0,75.0,115.0,65.0,55.0,65.0,112.0,90.0,70.0,170.0,1000000.0,1.0,True,0.5,15.0,0.5,0.5,2.0,1.0,2.0,1.0,2.0,0.5,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
7.0,Normal,2.0,Poison,Fire,0.6,4.8,2.0,320.0,48.0,44.0,40.0,71.0,40.0,77.0,120.0,70.0,64.0,1000000.0,2.0,True,0.875,20.0,1.0,0.5,2.0,1.0,0.25,0.5,0.5,0.5,4.0,1.0,2.0,0.25,2.0,1.0,1.0,1.0,0.5,0.25
7.0,Normal,2.0,Ghost,Fairy,0.2,0.7,1.0,476.0,55.0,90.0,80.0,50.0,105.0,96.0,45.0,70.0,167.0,1000000.0,1.0,True,0.5,20.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.25,1.0,2.0,0.0,1.0,2.0,1.0
1.0,Normal,2.0,Grass,Poison,1.0,6.4,2.0,390.0,65.0,90.0,50.0,85.0,45.0,55.0,120.0,70.0,137.0,1059860.0,1.0,True,0.5,20.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
8.0,Normal,1.0,Water,None,0.3,8.5,3.0,284.0,50.0,64.0,50.0,38.0,38.0,44.0,255.0,50.0,57.0,1000000.0,2.0,True,0.5,20.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
3.0,Normal,1.0,Psychic,None,0.9,71.5,3.0,470.0,80.0,45.0,65.0,90.0,110.0,80.0,60.0,70.0,165.0,800000.0,1.0,True,0.5,20.0,1.0,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
5.0,Normal,2.0,Psychic,Flying,1.4,14.0,3.0,490.0,72.0,58.0,80.0,103.0,80.0,97.0,45.0,70.0,172.0,1000000.0,1.0,True,0.5,20.0,1.0,1.0,1.0,2.0,0.5,2.0,0.25,1.0,0.0,1.0,0.5,1.0,2.0,2.0,1.0,2.0,1.0,1.0
1.0,Normal,2.0,Grass,Poison,0.7,6.9,2.0,318.0,45.0,49.0,49.0,65.0,65.0,45.0,45.0,70.0,64.0,1059860.0,2.0,True,0.875,20.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
4.0,Normal,2.0,Dragon,Ground,1.4,56.0,2.0,410.0,68.0,90.0,65.0,50.0,55.0,82.0,45.0,70.0,144.0,1250000.0,2.0,True,0.5,40.0,1.0,0.5,1.0,0.0,1.0,4.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,2.0
2.0,Normal,1.0,Electric,None,0.6,23.5,2.0,360.0,45.0,63.0,37.0,65.0,55.0,95.0,45.0,70.0,72.0,1000000.0,1.0,True,0.75,25.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
2.0,Normal,1.0,Dark,None,1.0,27.0,2.0,525.0,95.0,65.0,110.0,60.0,130.0,65.0,45.0,35.0,184.0,1000000.0,1.0,True,0.875,35.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0
4.0,Normal,2.0,Grass,Ice,2.7,185.0,1.0,594.0,90.0,132.0,105.0,132.0,105.0,30.0,60.0,70.0,208.0,1250000.0,2.0,True,0.5,20.0,1.0,4.0,0.5,0.5,0.5,1.0,2.0,2.0,0.5,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0
2.0,Normal,1.0,Ground,None,0.5,33.5,2.0,330.0,90.0,60.0,60.0,40.0,40.0,40.0,120.0,70.0,66.0,1000000.0,1.0,True,0.5,20.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
3.0,Normal,1.0,Rock,None,1.0,97.0,3.0,375.0,30.0,45.0,135.0,45.0,90.0,30.0,255.0,70.0,75.0,1000000.0,1.0,True,0.5,20.0,0.5,0.5,2.0,1.0,2.0,1.0,2.0,0.5,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
5.0,Normal,1.0,Dark,None,0.7,12.5,1.0,330.0,40.0,65.0,40.0,80.0,40.0,65.0,75.0,70.0,66.0,1059860.0,1.0,True,0.875,25.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0
4.0,Normal,2.0,Poison,Fighting,0.7,23.0,3.0,300.0,48.0,61.0,40.0,61.0,40.0,50.0,140.0,100.0,60.0,1000000.0,1.0,True,0.5,10.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,2.0,4.0,0.25,0.5,1.0,1.0,0.5,1.0,1.0
5.0,Legendary,2.0,Dragon,Ice,3.0,325.0,1.0,660.0,125.0,130.0,90.0,130.0,90.0,95.0,3.0,0.0,297.0,1250000.0,1.0,False,0.5,120.0,1.0,1.0,0.5,0.5,0.5,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0
8.0,Normal,2.0,Grass,Dragon,0.2,0.5,3.0,260.0,40.0,40.0,80.0,40.0,40.0,20.0,255.0,50.0,52.0,600000.0,2.0,True,0.5,20.0,1.0,1.0,0.25,0.25,0.25,4.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0
3.0,Normal,1.0,Ice,None,1.5,256.5,3.0,480.0,80.0,80.0,80.0,80.0,80.0,80.0,75.0,70.0,168.0,1000000.0,2.0,True,0.5,20.0,1.0,2.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0
1.0,Normal,2.0,Grass,Dragon,10.9,415.6,2.0,530.0,95.0,105.0,85.0,125.0,75.0,45.0,45.0,70.0,186.0,1250000.0,1.0,True,0.5,20.0,1.0,1.0,0.25,0.25,0.25,4.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0
1.0,Normal,2.0,Poison,Flying,0.8,7.5,2.0,245.0,40.0,45.0,35.0,30.0,40.0,55.0,255.0,70.0,49.0,1000000.0,1.0,True,0.5,15.0,1.0,1.0,1.0,2.0,0.25,2.0,0.25,0.5,0.0,1.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,0.5
2.0,Normal,1.0,Water,None,0.6,12.0,3.0,300.0,35.0,65.0,35.0,65.0,35.0,65.0,190.0,70.0,60.0,1000000.0,2.0,True,0.5,20.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
2.0,Normal,1.0,Normal,None,1.8,125.8,3.0,500.0,90.0,130.0,75.0,75.0,75.0,55.0,60.0,70.0,175.0,1000000.0,1.0,True,0.5,20.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
1.0,Normal,2.0,Bug,Poison,1.0,30.0,3.0,305.0,60.0,55.0,50.0,40.0,55.0,45.0,190.0,70.0,61.0,1000000.0,1.0,True,0.5,20.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
1.0,Normal,2.0,Bug,Flying,1.1,32.0,2.0,395.0,60.0,45.0,50.0,90.0,80.0,70.0,45.0,70.0,178.0,1000000.0,1.0,True,0.5,15.0,1.0,2.0,1.0,2.0,0.25,2.0,0.25,1.0,0.0,2.0,1.0,0.5,4.0,1.0,1.0,1.0,1.0,1.0
1.0,Normal,1.0,Poison,None,0.8,20.0,3.0,365.0,70.0,62.0,67.0,55.0,55.0,56.0,120.0,70.0,128.0,1059860.0,1.0,True,0.0,20.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
5.0,Normal,1.0,Psychic,None,0.6,8.0,3.0,370.0,65.0,40.0,50.0,125.0,60.0,30.0,100.0,70.0,130.0,1059860.0,1.0,True,0.5,20.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
2.0,Normal,2.0,Rock,Ground,0.6,72.0,2.0,300.0,50.0,64.0,50.0,45.0,50.0,41.0,45.0,35.0,60.0,1250000.0,1.0,True,0.5,40.0,0.5,0.5,4.0,0.0,4.0,2.0,2.0,0.25,2.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,2.0,1.0
1.0,Normal,1.0,Water,None,0.6,12.4,3.0,300.0,40.0,50.0,40.0,40.0,40.0,90.0,255.0,70.0,60.0,1059860.0,1.0,True,0.5,20.0,1.0,0.5,0.0,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
8.0,Normal,2.0,Ice,Bug,0.3,3.8,2.0,185.0,30.0,25.0,35.0,45.0,30.0,20.0,190.0,50.0,37.0,1000000.0,1.0,True,0.5,20.0,1.0,4.0,1.0,1.0,0.5,0.5,1.0,1.0,0.5,2.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0
6.0,Normal,1.0,Fighting,None,0.6,8.0,3.0,348.0,67.0,82.0,62.0,46.0,48.0,43.0,220.0,70.0,70.0,1000000.0,2.0,True,0.5,25.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0
5.0,Normal,1.0,Grass,None,3.3,63.0,2.0,528.0,75.0,75.0,95.0,75.0,95.0,113.0,45.0,70.0,238.0,1059860.0,2.0,True,0.875,20.0,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
3.0,Normal,1.0,Ghost,None,0.6,2.3,3.0,295.0,44.0,75.0,35.0,63.0,33.0,45.0,225.0,35.0,59.0,800000.0,1.0,True,0.5,25.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0,1.0,0.5,1.0,2.0,1.0,2.0,1.0,1.0
1.0,Normal,1.0,Fairy,None,0.6,7.5,3.0,323.0,70.0,45.0,48.0,60.0,65.0,35.0,150.0,140.0,113.0,800000.0,1.0,True,0.25,10.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0
3.0,Normal,2.0,Fire,Ground,0.7,24.0,3.0,305.0,60.0,60.0,40.0,65.0,45.0,35.0,255.0,70.0,61.0,1000000.0,1.0,True,0.5,20.0,1.0,0.5,4.0,0.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
3.0,Sub Legendary,1.0,Ice,None,1.8,175.0,2.0,580.0,80.0,50.0,100.0,100.0,200.0,50.0,3.0,35.0,261.0,1250000.0,1.0,False,0.5,80.0,1.0,2.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0
1.0,Normal,1.0,Poison,None,0.9,19.5,3.0,365.0,61.0,72.0,57.0,55.0,55.0,65.0,120.0,70.0,128.0,1059860.0,2.0,True,1.0,20.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
7.0,Normal,1.0,Dragon,None,0.6,29.7,3.0,300.0,45.0,55.0,65.0,45.0,45.0,45.0,45.0,70.0,60.0,1250000.0,1.0,True,0.5,40.0,1.0,0.5,0.5,0.5,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0
5.0,Sub Legendary,2.0,Ground,Flying,1.5,68.0,2.0,600.0,89.0,125.0,90.0,115.0,80.0,101.0,3.0,90.0,270.0,1250000.0,1.0,True,1.0,120.0,1.0,1.0,2.0,0.0,1.0,4.0,0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
3.0,Normal,1.0,Water,None,14.5,398.0,3.0,500.0,170.0,90.0,45.0,90.0,45.0,60.0,60.0,70.0,175.0,1640000.0,2.0,True,0.5,40.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
5.0,Normal,2.0,Water,Ground,1.5,62.0,3.0,509.0,105.0,95.0,75.0,85.0,75.0,74.0,45.0,70.0,229.0,1059860.0,1.0,True,0.5,20.0,1.0,0.5,1.0,0.0,4.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0
2.0,Normal,2.0,Bug,Steel,2.0,125.0,1.0,600.0,70.0,150.0,140.0,65.0,100.0,75.0,25.0,70.0,210.0,1000000.0,1.0,True,0.5,25.0,0.5,4.0,1.0,1.0,0.25,0.5,1.0,0.0,1.0,1.0,0.5,0.5,1.0,1.0,0.5,1.0,0.5,0.5
